"User","Recommendations","Matches"
46,"monsters inc 2001; roman holiday 1953; player the 1992",0
47,"monsters inc 2001; roman holiday 1953; die hard 1988",0
48,"monsters inc 2001; pulp fiction 1994; kolya kolja 1996",0
49,"roman holiday 1953; star wars episode iv  a new hope 1977; manhattan 1979",1
50,"roman holiday 1953; kolya kolja 1996; whats eating gilbert grape 1993",0
51,"pulp fiction 1994; roman holiday 1953; kolya kolja 1996",1
52,"roman holiday 1953; player the 1992; kolya kolja 1996",0
53,"pulp fiction 1994; roman holiday 1953; die hard 1988",0
54,"monsters inc 2001; roman holiday 1953; die hard 1988",0
55,"kolya kolja 1996; whats eating gilbert grape 1993; odd couple the 1968",0
56,"die hard 1988; benny  joon 1993; star wars episode iv  a new hope 1977",0
57,"monsters inc 2001; pulp fiction 1994; roman holiday 1953",1
58,"die hard 1988; kolya kolja 1996; star wars episode iv  a new hope 1977",0
59,"monsters inc 2001; pulp fiction 1994; roman holiday 1953",0
60,"pulp fiction 1994; roman holiday 1953; die hard 1988",1
61,"die hard 1988; kolya kolja 1996; whats eating gilbert grape 1993",1
62,"pulp fiction 1994; roman holiday 1953; whats eating gilbert grape 1993",0
63,"monsters inc 2001; pulp fiction 1994; roman holiday 1953",0
64,"pulp fiction 1994; die hard 1988; whats eating gilbert grape 1993",0
65,"pulp fiction 1994; roman holiday 1953; player the 1992",0
66,"kolya kolja 1996; benny  joon 1993; odd couple the 1968",0
67,"whats eating gilbert grape 1993; odd couple the 1968; cool hand luke 1967",0
68,"one the 2001; benny  joon 1993; odd couple the 1968",0
69,"pulp fiction 1994; die hard 1988; whats eating gilbert grape 1993",0
70,"kolya kolja 1996; whats eating gilbert grape 1993; benny  joon 1993",0
71,"pulp fiction 1994; roman holiday 1953; die hard 1988",1
72,"kolya kolja 1996; whats eating gilbert grape 1993; one the 2001",0
73,"pulp fiction 1994; roman holiday 1953; player the 1992",1
74,"monsters inc 2001; pulp fiction 1994; roman holiday 1953",0
75,"pulp fiction 1994; roman holiday 1953; whats eating gilbert grape 1993",0
76,"whats eating gilbert grape 1993; odd couple the 1968; cool hand luke 1967",0
77,"die hard 1988; one the 2001; spanish prisoner the 1997",0
78,"die hard 1988; thing from another world the 1951; one the 2001",1
79,"pulp fiction 1994; roman holiday 1953; die hard 1988",1
80,"monsters inc 2001; kolya kolja 1996; toy story 1995",0
81,"kolya kolja 1996; spanish prisoner the 1997; odd couple the 1968",0
82,"pulp fiction 1994; roman holiday 1953; die hard 1988",0
83,"roman holiday 1953; kolya kolja 1996; whats eating gilbert grape 1993",0
84,"monsters inc 2001; pulp fiction 1994; whats eating gilbert grape 1993",0
85,"pulp fiction 1994; roman holiday 1953; player the 1992",1
86,"monsters inc 2001; pulp fiction 1994; toy story 1995",0
87,"pulp fiction 1994; roman holiday 1953; player the 1992",0
88,"kolya kolja 1996; whats eating gilbert grape 1993; odd couple the 1968",0
89,"monsters inc 2001; kolya kolja 1996; whats eating gilbert grape 1993",0
90,"kolya kolja 1996; benny  joon 1993; star wars episode iv  a new hope 1977",1
91,"pulp fiction 1994; roman holiday 1953; player the 1992",0
92,"roman holiday 1953; die hard 1988; whats eating gilbert grape 1993",0
93,"roman holiday 1953; die hard 1988; whats eating gilbert grape 1993",0
94,"monsters inc 2001; roman holiday 1953; kolya kolja 1996",0
95,"benhur 1959; sullivans travels 1941; gladiator 2000",0
96,"monsters inc 2001; pulp fiction 1994; roman holiday 1953",0
97,"die hard 1988; kolya kolja 1996; whats eating gilbert grape 1993",0
98,"pulp fiction 1994; roman holiday 1953; kolya kolja 1996",0
99,"fight club 1999; fight club 1999; oceans eleven 2001",0
100,"pulp fiction 1994; die hard 1988; benny  joon 1993",0
101,"kolya kolja 1996; whats eating gilbert grape 1993; odd couple the 1968",0
